[00:00] 在前面評估好之後,會知道是不是特殊門,是不是需要加特殊安裝費等等的。
[08:08] 這個是AI機器人在回。
[08:15] 對。
[08:16] 這邊是AI機器人在回。
[08:18] 這裡面的鎖全部都是AI。
[08:20] 就是到時候電子鎖裡面的客服。
[08:23] 全部是AI機器人。
[08:24] 然後當AI機器人判斷說。
[08:26] 這個問題好像真的就是。
[08:28] 一定要轉真正客服。
[08:29] 他就會跳出這一塊。
[08:30] 讓對方去點。
[08:32] 然後當然是。
[08:34] 這個地方。
[08:36] 我想要有。
[08:37] 系統的東西。
[08:40] 就是這個layout要再想一下。
[08:43] 因為。
[08:44] 因為。
[08:45] 我的幻想當時是Line裡面可以解決所有的東西。
[08:48] 可是因為。
[08:49] 講到好像沒辦法避開Line的東西。
[08:52] 的擋的。
[08:54] 所以勢必現在核潤他們都這樣子。
[08:56] 那這個是沒辦法的。
[08:58] 所以。
[08:59] 但是在這些都是可以。
[09:00] 這些都是連結。
[09:01] 這可以幫你。
[09:02] 幫一些其他的系統。
[09:04] 比如說。
[09:05] 比如說。
[09:06] 今天要客人填資料。
[09:09] 我們現在傳統的方式叫客人把資料丟到。
[09:13] 這個Line裡面。
[09:14] 然後我們。
[09:15] 我們再把。
[09:16] 我給你看客服好了。
[09:20] 然後我們再把。
[09:29] 反正你還要再人工記錄。
[09:31] 我要把這個記錄。
[09:33] 再自己key。
[09:35] 這蠻正常的啦。
[09:37] 這個是傳統的嘛。
[09:39] 那我這邊就可以。
[09:41] 不要這樣。
[09:43] 我可以直接叫他。
[09:48] 自己文件申請或是什麼。
[09:51] 文件填寫。
[09:52] 然後key完再傳到我們的系統裡面。
[09:55] 整個就串起來。
[09:57] 那我跟你講。
[09:59] 你那個界面要分兩個。
[10:01] 一個是給師傅看的界面。
[10:02] 一個是給使用者。
[10:04] 不然那個使用者看到。
[10:05] 上面怎麼公開系統。
[10:06] 他還可以點。
[10:07] 就不行。
[10:08] 那要分。
[10:10] 那要完全分開。
[10:11] 那你就會有兩個Line。
[10:13] 對啊。
[10:14] 那都跟我們一樣。
[10:16] 師傅的Line。
[10:17] 一個是。
[10:18] 用戶的Line。
[10:21] 我覺得這樣很好。
[10:22] 因為師傅Line。
[10:23] 就是你去管你的師傅。
[10:25] 對。
[10:26] 然後。
[10:27] 一般來講。
[10:28] 你這家店有他自己的門面。
[10:30] 的Line。
[10:31] 是專門接客服的。
[10:33] 所以會有兩個。
[10:34] 那這樣很好。
[10:35] 其實你現在兩個客群。
[10:37] 對。
[10:38] 你現在兩個客群。
[10:39] 就是一大堆師傅的客群。
[10:41] 一個是。
[10:42] 消費者的客群。
[10:44] 這樣比較好。
[10:46] 大內現在不是喔。
[10:47] 當然不是。
[10:48] 大內是。
[10:49] 你都用同一個Line。
[10:50] 大內是他那個。
[10:51] 總計是最強的那個。
[10:53] 那個Line。
[10:54] 大概是200則訊息。
[10:55] 每一天。
[10:56] 因為他都是不同的人。
[10:58] 然後不同。
[10:59] 他會這樣子。
[11:00] 所以你都看得到別的師傅在對。
[11:02] 我看不到。
[11:03] 因為他是這樣子。
[11:04] 比如說。
[11:05] 像今天我跟大內。
[11:07] 有派工群。
[11:08] 他就是。
[11:09] 所有裡面都是。
[11:10] 都是人。
[11:11] 他就把所有的Line都拉進去。
[11:12] 然後。
[11:13] 然後我是師傅。
[11:14] 所以他們內部的小姐。
[11:15] 就會開一個小Line群。
[11:16] 然後這樣子派工。
[11:17] 用計師本這樣。
[11:18] 慢慢派。
[11:19] 所以你就自己滑。
[11:20] 自己滑。
[11:21] 自己這樣查。
[11:22] 或是用搜尋的這樣。
[11:23] 這個就是。
[11:24] 很傳統。
[11:25] 但是如果你說。
[11:26] 有這個Line ad。
[11:27] 對啊。
[11:28] 我這群組裡面。
[11:29] 其他人全部都取交掉。
[11:30] 就一個Line的官方。
[11:31] 就指對你。
[11:32] 對。
[11:33] 就跟他聊聊。
[11:34] 因為師傅他看不到他自己。
[11:35] 其他成員都可以去。
[11:36] 這個地方。
[11:37] 對啊。
[11:38] 用嘛。
[11:39] 對啊。
[11:40] 那為什麼他們會想要。
[11:41] 這樣用是因為。
[11:42] 這邊有計師本。
[11:43] 就是說什麼。
[11:44] 他這樣直接。
[11:45] 因為他沒有控單系統。
[11:46] 對。
[11:47] 他沒有控單系統。
[11:48] 他想用計師本。
[11:49] 對。
[11:50] 對。
[11:51] 現在。
[11:52] 好。
[11:53] 你覺得你這些東西。
[11:54] 還有其他等嗎?
[11:55] 反正你就盡量的提。
[11:56] 我覺得先這樣好了。
[11:57] OK。
[11:58] 因為我覺得。
[11:59] 我回去要整理一下。
[12:00] 要整理。
[12:01] 一定要整理。
[12:02] 我要再跟Iron這邊。
[12:03] 討論說。
[12:04] 哪些東西。
[12:05] 我們先。
[12:06] 那也是跟你討論。
[12:07] 哪些先做。
[12:08] 那一定是。
[12:09] AI先啊。
[12:10] 沒有這個沒有問題。
[12:11] 那你先。
[12:12] 那你先。
[12:13] 那你先。
[12:14] 那你先。
[12:15] 那你先。
[12:16] 那你先。
[12:17] 那你先。
[12:18] 那你先。
[12:19] 那你先。
[12:20] 沒有這個沒有問題。
[12:21] 那供單系統要做到哪些。
[12:23] 這比較細。
[12:25] 對。
[12:26] 但是。
[12:27] 一定要有AI才有辦法接供。
[12:29] 了解。
[12:30] 反正就兩個。
[12:31] 一個是給師傅的。
[12:32] 然後再給會計的。
[12:33] 對。
[12:34] 然後金牛這一塊先補棚。
[12:36] 走人工走。
[12:37] 走人工走。
[12:38] 但都是虛擬數字。
[12:40] 對。
[12:41] 反正讓會計好對帳。
[12:43] 對。
[12:44] 就是傳報表。
[12:45] 傳報表。
[12:46] OK。
[12:47] 對對對。
[12:48] 傳報表。
[12:49] 這樣應該。
[12:51] 做起來。
[12:54] 不管找誰應該都。
[12:56] 每個產業都可以。
[12:57] 然後電視。
[12:59] 我真的在想Shop。
[13:00] 電視的。
[13:01] 或三星。
[13:03] 反正找有類似跟你這種。
[13:04] 因為你要到家裡。
[13:06] 那就。
[13:07] 現在最麻煩是師傅要到家。
[13:09] 反正就是類似這種裝水電的啊。
[13:11] 裝。
[13:12] 水電我覺得。
[13:13] 冷氣啊。
[13:14] 冷氣跟水電。
[13:15] 冰箱。
[13:16] 冰箱。
[13:17] 家電類的。
[13:18] 但是我覺得水電這一塊。
[13:20] 比較像是。
[13:24] 很即時。
[13:25] 但是我要再想。
[13:26] 因為水電太廣了。
[13:27] 你常常加水電。
[13:29] 所有廚房。
[13:31] 到蓋大樓的。
[13:33] 都有。
[13:34] 我覺得水電可能。
[13:35] 比電視手還要更複雜。
[13:36] 太複雜啦。
[13:37] 更多東西。
[13:38] 水電你要直接拉。
[13:39] 什麼國家考試那個數。
[13:41] 直接全部。
[13:42] 拉進去。
[13:43] 學。
[13:44] 只能這樣。
[13:45] 對啊。
[13:46] 我覺得。
[13:47] 最難的是。
[13:49] 變成是兩個導向。
[13:51] 一個是。
[13:52] 土B嘛。
[13:53] 土B就是。
[13:54] 師傅要蓋房子的那種水電。
[13:56] 那土C的水電就是。
[13:58] 家裡麻煩破了。
[13:59] 但是這個東西就是。
[14:00] 牌照。
[14:01] 而且很緊急。
[14:02] 你很難。
[14:03] 無法那種。
[14:04] 系統。
[14:05] 那個比較。
[14:06] 那個要再想。
[14:07] 對。
[14:08] 所以我遇到。
[14:09] 就是水電的需求是。
[14:10] 他現在正在別人家裡修。
[14:12] 管路。
[14:13] 水桶。
[14:14] 配電。
[14:15] 然後現在。
[14:16] 直接接電話。
[14:18] 你知道嗎。
[14:19] 因為。
[14:20] 歐吉上有可能打電話來。
[14:21] 我家什麼馬桶不會通。
[14:23] 你可以直接來看。
[14:25] 對。
[14:28] 然後師傅在別人家修。
[14:29] 他有沒時間接。
[14:31] 而且水電的東西。
[14:32] 絕對不可能用匠。
[14:33] 一定都是先去人家家裡。
[14:35] 那怎麼沒辦法用匠。
[14:36] 裡面還有牌照啊。
[14:37] 對啊。
[14:38] 所以現在就是。
[14:39] 我覺得。
[14:40] 我覺得水電。
[14:41] 他很需要一個是。
[14:42] 可以先幫他。
[14:43] 把客人的東西先擋。
[14:45] 擋下來。
[14:46] 或是先跟他講。
[14:47] 我幾點有call。
[14:48] 或是什麼。
[14:49] 那你有什麼問題先留言。
[14:52] 那就是。
[14:53] 那就是Siri啦。
[14:55] 我現在很煩耶。
[14:56] 其實類似你這個。
[14:57] 就是。
[14:58] 我現在。
[14:59] 剛剛打給客人。
[15:00] iPhone不是。
[15:01] 因為他。
[15:02] 現在出了那個會打。
[15:04] 留言。
[15:05] 請先留言。
[15:06] 我看人家接電話。
[15:07] 然後說。
[15:08] 我是鎖店。
[15:09] 然後客人看到說。
[15:10] 我是鎖店才能接。
[15:11] 那人家打進來。
[15:13] 那人家打進來。
[15:14] 你要擋人家。
[15:15] 很難打。
[15:16] 因為人家打你手機。
[15:18] 也是。
[15:19] 人家打你手機。
[15:20] 要打給誰。
[15:21] 然後打你室內電話。
[15:22] 你不可能打。
[15:24] 對。
[15:25] 室內電話是直接轉接到手機嗎。
[15:26] 是啊。
[15:27] 人家怎麼打。
[15:29] 沒有就是Line At。
[15:30] 用Line。
[15:31] Line的打電話。
[15:32] 馬桶破了。
[15:33] 打不打電。
[15:34] 打電了。
[15:35] 馬桶破了。
[15:36] 因為是。
[15:37] 直接打。
[15:38] 打電。
[15:39] 打什麼最快的就是打。
[15:40] 然後水管破了。
[15:41] 就是直接打。
[15:42] 那個還蠻難。
